year,case_no,age,sex,cas_mode,strike_mode,lat,lng
2017,410009,36,Female,other,auto,44.868875,-123.0486167
2017,410054,77,Female,auto,auto,45.05636667,-122.9692806
2017,410073,36,Male,auto,auto,44.98555278,-122.9917667
2017,410085,49,Male,auto,,44.74629722,-123.0521861
2017,410106,32,Male,auto,auto,45.00458889,-122.9764833
2017,410133,72,Female,walk,auto,44.95877778,-122.9886833
2017,410137,26,Male,auto,auto,44.97198889,-123.0285139
2017,410139,24,Male,auto,auto,44.93961944,-123.0589139
2017,410181,24,Male,auto,auto,45.06673611,-123.0744278
2017,410221,54,Female,auto,auto,45.08998333,-122.9766833
2017,410226,14,Female,walk,auto,44.88745833,-123.0332472
2017,410231,58,Male,auto,auto,44.99661111,-122.9522611
2017,410233,58,Female,auto,auto,44.86683889,-123.0880722
2017,410241,58,Male,auto,auto,45.017425,-123.0254639
2017,410269,57,Male,walk,auto,44.92705833,-123.0038472
2017,410288,79,Male,bike,auto,44.92563611,-122.978075
2017,410319,18,Female,auto,auto,45.02813889,-123.0508528
2017,410324,91,Female,auto,auto,44.98388333,-123.0770167
2017,410337,28,Male,walk,auto,44.92912778,-123.0234889
2017,410341,27,Male,walk,auto,44.77371111,-123.04315
2017,410352,96,Female,auto,auto,44.88335833,-123.0510556
2017,410358,22,Male,auto,auto,44.94463056,-122.9901444
2017,410368,25,Female,auto,auto,45.02284444,-122.9757278
2017,410368,8,Male,auto,auto,45.02284444,-122.9757278
2017,410368,6,Male,auto,auto,45.02284444,-122.9757278
2017,410368,4,Female,auto,auto,45.02284444,-122.9757278
2017,410368,2,Female,auto,auto,45.02284444,-122.9757278
2017,410384,89,Female,auto,auto,44.769625,-123.1448611
2017,410403,22,Male,auto,auto,44.73938889,-123.0523333
2018,410016,95,Male,auto,auto,44.99155,-122.903925
2018,410065,42,Male,walk,auto,44.87079167,-123.0018861
2018,410071,35,Male,auto,auto,44.92921944,-122.8857111
2018,410135,55,Female,auto,auto,45.05283056,-123.0827833
2018,410155,50,Female,auto,auto,44.931725,-123.1017611
2018,410156,69,Male,auto,auto,45.06990556,-122.9796083
2018,410157,90,Male,auto,auto,44.933075,-122.9590139
2018,410158,53,Female,bike,auto,44.92792222,-122.9985778
2018,410159,44,Male,walk,auto,44.93942778,-123.0422139
2018,410170,77,Male,auto,auto,44.93343333,-123.1777806
2018,410191,34,Male,auto,auto,44.91634444,-122.9912083
2018,410191,32,Female,auto,auto,44.91634444,-122.9912083
2018,410243,62,Male,auto,auto,44.85139167,-123.1481472
2018,410249,75,Male,auto,auto,44.99158333,-122.8890083
2018,410280,55,Male,walk,auto,44.98966667,-123.026625
