age_bin,sex,cause,deaths,ylls,ref_pop
0,male,all_cause,15.35,1320.21,86528
5,male,all_cause,11.31,923.15,117081
10,male,all_cause,20.68,1601.41,127183
15,male,all_cause,73.72,5245.63,127389
20,male,all_cause,153.09,10180.15,126416
25,male,all_cause,174.22,10748.32,135285
30,male,all_cause,185.77,10519.65,133532
35,male,all_cause,247.78,12817.07,135703
40,male,all_cause,274.11,12811.27,128161
45,male,all_cause,455.83,19077.68,127762
50,male,all_cause,675.89,25097.86,121596
55,male,all_cause,1065.04,34564.52,127945
60,male,all_cause,1555.52,43332.96,127662
65,male,all_cause,2115.56,49459.87,121078
70,male,all_cause,2493.73,47618.88,94849
75,male,all_cause,2568.52,38749.03,61792
80,male,all_cause,2506.8,29001.06,36498
85,male,all_cause,2352.33,20732.13,19972
90,male,all_cause,1730.42,11832.36,8722
95,male,all_cause,784.05,4094.63,2450
0,female,all_cause,13.93,1198.55,82231
5,female,all_cause,8.62,704.04,111658
10,female,all_cause,13.54,1034.07,121109
15,female,all_cause,35.85,2558.2,121856
20,female,all_cause,52.2,3472.92,122077
25,female,all_cause,69.55,4283.76,132174
30,female,all_cause,90.74,5135.28,133953
35,female,all_cause,133.37,6890.44,138494
40,female,all_cause,170.79,7980.61,128520
45,female,all_cause,273.62,11443.76,126846
50,female,all_cause,432.5,16060.55,121519
55,female,all_cause,677.24,21972.64,134445
60,female,all_cause,1053.65,29342.48,138870
65,female,all_cause,1472.66,34377.8,133851
70,female,all_cause,1885.73,35961.51,105038
75,female,all_cause,2089.16,31420.43,71660
80,female,all_cause,2367.62,27344.81,45540
85,female,all_cause,2552.93,22415.35,29823
90,female,all_cause,2657.4,18062.79,16778
95,female,all_cause,1802.36,9283.33,6197
0,male,diabetes,0.037,3.22,86528
5,male,diabetes,0.033,2.73,117081
10,male,diabetes,0.12,9.11,127183
15,male,diabetes,0.32,22.42,127389
20,male,diabetes,0.86,57.16,126416
25,male,diabetes,1.5,92.7,135285
30,male,diabetes,2.58,146.35,133532
35,male,diabetes,4.74,245.22,135703
40,male,diabetes,7.84,366.61,128161
45,male,diabetes,15.28,639.39,127762
50,male,diabetes,24.65,915.27,121596
55,male,diabetes,41.8,1356.41,127945
60,male,diabetes,62.15,1731.34,127662
65,male,diabetes,83.39,1949.59,121078
70,male,diabetes,93.74,1790.06,94849
75,male,diabetes,86.1,1298.94,61792
80,male,diabetes,73.35,848.62,36498
85,male,diabetes,58.55,516.05,19972
90,male,diabetes,40.6,277.63,8722
95,male,diabetes,15.22,79.5,2450
0,female,diabetes,0.03,2.62,82231
5,female,diabetes,0.032,2.58,111658
10,female,diabetes,0.099,7.56,121109
15,female,diabetes,0.23,16.46,121856
20,female,diabetes,0.57,38.09,122077
25,female,diabetes,1.13,69.85,132174
30,female,diabetes,1.76,99.38,133953
35,female,diabetes,2.81,145.04,138494
40,female,diabetes,4.34,202.73,128520
45,female,diabetes,7.61,318.17,126846
50,female,diabetes,14.8,549.66,121519
55,female,diabetes,21.85,708.83,134445
60,female,diabetes,38.52,1072.7,138870
65,female,diabetes,51.32,1198.11,133851
70,female,diabetes,59.05,1126.09,105038
75,female,diabetes,60.9,915.98,71660
80,female,diabetes,63.75,736.3,45540
85,female,diabetes,64.77,568.73,29823
90,female,diabetes,62.72,426.34,16778
95,female,diabetes,32.18,165.74,6197
0,male,colon_cancer,0,0,86528
5,male,colon_cancer,0.017,1.41,117081
10,male,colon_cancer,0.026,1.98,127183
15,male,colon_cancer,0.071,5.03,127389
20,male,colon_cancer,0.24,16.14,126416
25,male,colon_cancer,0.61,37.46,135285
